#lus_code YYYY MM DD HH MI Layer_Thick  T  Vol_Frac_I  Vol_Frac_W  Vol_Frac_V  Vol_Frac_S Rho_S Conduc_S HeatCapac_S  rg  rb  dd  sp  mk mass_hoar ne
25 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
25 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
25 1980 10 01 01 00 1.00 278.15 0.00 0.02 0.28 0.70 950.00 0.7 600.00 63.00 0.0 0.0 0.0 0 0.0 1
25 1980 10 01 01 00 0.40 278.15 0.00 0.02 0.28 0.70 950.00 0.7 600.00 63.00 0.0 0.0 0.0 0 0.0 1
25 1980 10 01 01 00 0.40 278.15 0.00 0.02 0.28 0.70 950.00 0.7 600.00 63.00 0.0 0.0 0.0 0 0.0 1
25 1980 10 01 01 00 0.10 278.15 0.00 0.08 0.19 0.73 1400.0 1.3 750.00 0.100 0.0 0.0 0.0 0 0.0 1
25 1980 10 01 01 00 0.10 278.15 0.00 0.08 0.19 0.73 1400.0 1.3 750.00 0.100 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 1.30 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 0.25 278.15 0.00 0.02 0.28 0.70 950.00 0.7 600.00 63.00 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 0.25 278.15 0.00 0.02 0.28 0.70 950.00 0.7 600.00 63.00 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 0.10 278.15 0.00 0.02 0.23 0.75 1000.0 0.8 700.00 3.150 0.0 0.0 0.0 0 0.0 1
26 1980 10 01 01 00 0.10 278.15 0.00 0.02 0.23 0.75 1000.0 0.8 700.00 3.150 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 0.50 278.15 0.00 0.13 0.09 0.78 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 0.50 278.15 0.00 0.13 0.09 0.78 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 0.35 278.15 0.00 0.13 0.09 0.78 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 0.35 278.15 0.00 0.13 0.14 0.73 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 0.15 278.15 0.00 0.13 0.14 0.73 1200.0 1.3 800.00 0.0315 0.0 0.0 0.0 0 0.0 1
28 1980 10 01 01 00 0.15 278.15 0.00 0.13 0.14 0.73 1200.0 1.3 800.00 0.0315 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 3.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 1.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 2.00 272.15 0.10 0.02 0.01 0.87 2400.0 2.0 900.00 10000 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 0.50 278.15 0.00 0.13 0.09 0.78 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 0.50 278.15 0.00 0.13 0.09 0.78 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 0.35 278.15 0.00 0.13 0.09 0.78 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 0.35 278.15 0.00 0.13 0.14 0.73 1150.0 1.3 800.00 0.100 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 0.15 278.15 0.00 0.13 0.14 0.73 1200.0 1.3 800.00 0.0315 0.0 0.0 0.0 0 0.0 1
29 1980 10 01 01 00 0.15 278.15 0.00 0.13 0.14 0.73 1200.0 1.3 800.00 0.0315 0.0 0.0 0.0 0 0.0 1
